node,avg,median,GDratio,GDratio_forSynteny,filted_avg,filted_median,type
phyto_0,0.830247319,0.7673995,0.2,0.1388,0.830247319,0.7673995,TRUE
phyto_1,1.716856833,1.63813,0.0755,0.0619,1.716856833,1.63813,TRUE
phyto_10,1.777817895,1.71415,0.0966,0.0626,1.760928061,1.689595,TRUE
phyto_11,1.884820462,1.84439,0.0049,0.0029,1.9664836,1.96882,FALSE
phyto_12,0.264103521,0.182391,0.7164,0.5178,0.255557935,0.181754,TRUE
phyto_13,0.865846636,0.7727885,0.0533,0.0179,0.87091752,0.765723,FALSE
phyto_14,1.436489667,1.36512,0.0044,7.00E-04,1.435073131,1.39087,FALSE
phyto_15,1.246973802,1.27297,0.1481,0.0272,1.213000874,1.23256,TRUE
phyto_16,1.699817614,1.805305,0.0076,0.006,1.34008125,1.03563,FALSE
phyto_17,0.904912921,0.738326,0.0433,2.00E-04,0.92426911,0.82332,FALSE
phyto_18,0.742636402,0.6199465,0.2056,0.1297,0.816025627,0.655325,TRUE
phyto_19,1.072786652,0.881465,0.2396,0.1999,1.293624102,1.24222,TRUE
phyto_2,2.008864359,1.97592,0.0025,9.00E-04,2.008864359,1.97592,FALSE
phyto_20,1.71247915,1.581375,0.001,0.001,1.71247915,1.581375,FALSE
phyto_21,1.149060211,1.015115,0.001,2.00E-04,0.968905257,0.644104,FALSE
phyto_22,1.638626893,1.57601,0.0041,0.0012,1.516010072,1.47429,FALSE
phyto_23,1.858982609,1.77731,0.0044,9.00E-04,1.74398551,1.5775,FALSE
phyto_24,1.173308321,0.9839045,0.294,0.1501,1.175620776,1.01465,TRUE
phyto_25,1.73642628,1.72003,0.0197,0.0116,1.733101679,1.66699,FALSE
phyto_26,1.732264954,1.647395,0.0067,0.0013,1.772337295,1.65781,FALSE
phyto_27,1.920841437,1.90297,0.0025,7.00E-04,2.048995769,2.01235,FALSE
phyto_28,1.127167843,1.005545,0.2625,0.2194,1.15546611,1.0262,TRUE
phyto_29,0.677240529,0.4325705,0.5599,0.2074,0.526231467,0.374115,TRUE
phyto_3,1.73905,1.73905,2.00E-04,2.00E-04,1.73905,1.73905,FALSE
phyto_30,1.274104917,1.14571,0.1234,0.0264,1.241139405,1.14105,FALSE
phyto_31,1.667564478,1.604825,0.005,0.0018,1.818219633,1.796935,FALSE
phyto_32,1.967217731,1.94207,0.0013,8.00E-04,1.723935714,1.37768,FALSE
phyto_33,0.899296077,0.6708195,0.2948,0.138,0.771613572,0.661691,TRUE
phyto_34,1.432131528,1.406945,0.0145,0.0066,1.147691906,1.06011,FALSE
phyto_35,1.461243995,1.405525,0.2197,0.1714,1.474245872,1.420095,TRUE
phyto_36,0.987110112,0.770211,0.3522,0.1974,0.96588876,0.7719905,TRUE
phyto_37,1.263069101,1.22634,0.1095,0.0772,1.416515919,1.41641,TRUE
phyto_38,1.798734541,1.87544,0.0033,0.0014,1.753934333,1.76154,FALSE
phyto_39,1.760701123,1.70581,0.0057,0.0026,1.719684922,1.82868,FALSE
phyto_4,1.401717286,1.37335,2.00E-04,2.00E-04,1.401717286,1.37335,FALSE
phyto_40,1.813661255,1.812505,0.0027,0.0011,1.88720587,1.87687,FALSE
phyto_41,0.405598029,0.232375,0.5699,0.4311,0.421114372,0.258104,TRUE
phyto_42,0.869701229,0.721164,0.0327,0.0216,0.83457274,0.652139,FALSE
phyto_43,0.950731935,0.739045,0.0318,0.0272,0.99271605,0.822635,TRUE
phyto_44,1.669146714,1.68169,0.009,0.0046,1.449951178,1.42473,FALSE
phyto_45,1.84607545,1.836125,0.0223,0.0151,1.858858378,1.83022,TRUE
phyto_46,0.63941316,0.555904,0.1347,0.1121,0.611872806,0.551996,FALSE
phyto_47,1.87897474,1.828935,7.00E-04,5.00E-04,1.835333225,1.76635,FALSE
phyto_48,1.805100105,1.80499,0.0082,0.0035,1.687323,1.64587,FALSE
phyto_49,1.773844531,1.817435,0.0086,0.0045,1.625741412,1.685565,FALSE
phyto_5,0.544582314,0.347113,0.4892,0.3489,0.473387442,0.34208,TRUE
phyto_50,0.877712525,0.690703,0.2889,0.1273,0.914484708,0.699327,TRUE
phyto_51,1.409553508,1.36824,0.0624,0.0503,1.268408453,1.16408,TRUE
phyto_52,1.348855796,1.18581,0.0118,0.0087,0.948361175,0.878747,FALSE
phyto_53,1.771129336,1.83951,0.006,0.0021,1.584980652,1.67754,FALSE
phyto_54,0.785229339,0.640975,0.3165,0.3165,0.86157692,0.745287,TRUE
phyto_55,1.455982777,1.34057,0.0337,0.013,1.378596038,1.31125,FALSE
phyto_56,1.509071725,1.437655,0.0966,0.02,1.461092862,1.389685,FALSE
phyto_57,1.671020101,1.66885,0.1777,0.1111,1.70041211,1.71802,TRUE
phyto_58,1.985524586,1.95661,0.0342,0.012,1.922155755,1.8853,TRUE
phyto_59,1.791263737,1.74041,0.0155,0.0085,1.736374796,1.73989,FALSE
phyto_6,1.07350977,0.9956145,0.0304,0.016,1.143293355,1.04959,FALSE
phyto_60,1.643462864,1.56734,0.1595,0.0409,1.612996293,1.55787,TRUE
phyto_61,1.720003,1.8117,0.0022,0.0011,1.720003,1.8117,FALSE
phyto_62,1.798253649,1.73056,0.046,0.027,1.788658941,1.724965,TRUE
phyto_63,1.750377589,1.68527,0.0128,0.0065,1.649184453,1.53735,FALSE
phyto_64,1.859801116,1.934955,0.0072,0.0023,1.528754014,1.62588,FALSE
